product,verified,rating,date,author,content,title
Apple - HomePod - Space Gray,1,5,10 Nov 2020,Jocruz41,"I have to say that this speaker is the best. He sound is amazing, the easy access to siri is super. The look of it. It is stunning and fashionable. 

If I have to same something bad about the HomePod it will be the price. But for the quality and the sound that you get from it. It is a okay...",Best speaker
Apple - HomePod - Space Gray,1,5,10 Nov 2020,vb48,Excellent quality speaker. Can't go wrong with sound quality but siri lacks functionality.,Good quality speaker
Apple - HomePod - Space Gray,1,5,10 Nov 2020,joey,it was really dope defintely something i would want to get again or rec to another friend yall need this,yes
Apple - HomePod - Space Gray,1,5,09 Nov 2020,Azrael,Bought this for my father and he’s loved it ever since. Great product made even better by the new minis coming out,Great stuff
Apple - HomePod - Space Gray,1,5,09 Nov 2020,Tennessee123,This has been a great addition to our start home. This is our hub that we hooked into HomeKit to keep everything connected,Great speaker
Apple - HomePod - Space Gray,1,4,09 Nov 2020,JHEM,"the sound is clear, performance is very good and is easy to use",good item
Apple - HomePod - Space Gray,1,5,08 Nov 2020,Sean,"Easy to set up, and integrates with other Apple products wonderfully.",Great in the apple ecosystem
Apple - HomePod - Space Gray,1,5,08 Nov 2020,BrandonB,"So I'm a self admitted Apple fan. However I had been holding out for the last couple years on this product. Now that the software has matured, I bought a HomePod and I'm thrilled. 

It functions as a home hub for my HomeKit devices and it sounds, to me, amazing for a speaker of its size and when I compare it to other wireless speakers. Of course this is NOT
Blue Tooth and functions with Apple AirPlay so be aware of that. But for someone invested in that ecosystem, it's great.","Better Than Expected, Matured Software"
Apple - HomePod - Space Gray,1,5,08 Nov 2020,angelsparo,"A great product by Apple, syncs with your daily routines making your life easier, the sounds quality is the best in their type",Great sound
Apple - HomePod - Space Gray,1,5,13 Nov 2018,NurseJordan,"Great purchase..I’m loving my Apple HomePod so far, I use it everyday..!",Apple HomePod
Apple - HomePod - Space Gray,1,5,08 Nov 2020,JDiaz,Love sound. Siri listens pretty well. kinda scary that it can turn on and listen at any point. wifi necessary.,Homepod
Apple - HomePod - Space Gray,1,3,13 Nov 2017,Andynetweb,Very good sound quality but limited capabilities compared to Alexa. HomeKit just doesn’t have that many supporters. A little on the pricey side.,Good sound quality but pricey for what it can do.
Apple - HomePod - Space Gray,1,5,13 Nov 2018,Bradley,"Amazing sound quality, easy to use, and solid build quality. I highly recommend this.",Great product
Apple - HomePod - Space Gray,1,5,13 Nov 2018,Hormuz,"HomePod is amazing. It could be connected to iPhone, iPad, Mac, and Apple Watch and has amazing functionality.",High Quality Sound
Apple - HomePod - Space Gray,1,4,13 Nov 2018,Jigga3030,Love it for music but can’t figure out any other options.   Ry difficult to setup and use for anything else.,Apply HomePod
Apple - HomePod - Space Gray,1,5,13 Nov 2018,ThuHaze,Sounds Awesome and works great in my smart home. Can’t wait to get the iPod mini to complement my HomePod.,Hompod
Apple - HomePod - Space Gray,1,5,13 Nov 2018,Joseh,"Great sound I use it for work . I like that I can just say “hey Siri “ and it plays what I want , and setting it up is easy",Great sound
Apple - HomePod - Space Gray,1,4,13 Nov 2018,mabrennan,"It could be better, but it is Apple, and what can you say about an Apple product but awesome!",Apple hits another homer!
Apple - HomePod - Space Gray,1,5,13 Nov 2018,Dave,This is my second HomePod. I think they make great products.,home pod
Apple - HomePod - Space Gray,1,5,13 Nov 2018,Drent,"Love it, works great!! Sounds awesome and fills the room with a great musical balance.",Apple Homepod
Apple - HomePod - Space Gray,1,5,13 Nov 2018,Yuncong,"I got a pair of HomePods for stereo sound. The nest design may keep some dust. Human voice sounds better than Bose. But there is some distortion in the subwoofer sound, making low-frequency sounds less powerful. Overall, it is overpriced, but if you get it on 1/3 off, it will be great.",Smart home speaker
Apple - HomePod - Space Gray,1,5,13 Nov 2018,Madison,This is a great device. It set up perfectly easily and hasn’t had a problem since!,Homepod
Apple - HomePod - Space Gray,1,5,13 Nov 2018,Tyler,"Love it, amazing product, great staff. They where very kind.",Amazing
Apple - HomePod - Space Gray,1,5,13 Nov 2018,Mohsin,Easy to use and install -and setup I Highly recommended.,Review
Apple - HomePod - Space Gray,1,5,13 Nov 2018,OrigPickeringtonClan,"Picked up at an incredible $199 New, not open box. This is a steal at that price and would easily put this up against any Premium Smart speaker out there. Bonus, works great as a conference speaker too!",Sounds better than any smart speaker out there
Apple - HomePod - Space Gray,1,5,13 Nov 2018,Morticia,This is great sound. We only use it for the Apple Music. Otherwise it’s unplugged.,It’s cool
Apple - HomePod - Space Gray,1,5,13 Nov 2018,MimiG,I love this product! I replaced an Alexa because I use iOS products and I have no regrets!,LOVE IT!
Apple - HomePod - Space Gray,1,5,13 Nov 2018,imjaypee,"Love my Homepod---I'm an Apple fan through and through.  No, the Homepod is not buggy but make sure that it is updated regularly.  The sound is rich and bass is deep.  I use my Homepod for Apple music and to make phone calls---the call quality is amazing and sounds as if I'm on my iPhone.  If you want it to control your home's locks, smartbulbs or thermostat ensure that those devices are compatible with Apple's homekit.",Awesome speaker
Apple - HomePod - Space Gray,1,5,13 Nov 2018,Applefan,Great speaker bought to work with my 4 other home pods great stereo sound throughout home,Great sound with Siri
Apple - HomePod - Space Gray,1,5,07 Nov 2020,ipadmania,"Reasonable price and fast delivery!
thanks! nice oppertunity",nic3
Apple - HomePod - Space Gray,1,4,07 Nov 2020,DTayl,"I really enjoyed this product. Great sound, good size and not a bad price. You just can’t go wrong with Apple products. Not sure about the home features like turning on/off lights, hear etc.",Great sound!
Apple - HomePod - Space Gray,1,5,07 Nov 2020,Lorilei,Easy setup right out of the box!  Great music quality and very responsive.,Great product
Apple - HomePod - Space Gray,1,5,07 Nov 2020,Tacos,"Absolutely love this thing. Great sound quality, and the fact that Siri can hear me when invoked, at any volume, is utterly amazing. I use it every day to play music, check the weather, get updates on my daily calendar.",Best little speaker ever
Apple - HomePod - Space Gray,1,3,07 Nov 2020,Robert,"Good sounding speaker. Unfortunately cannot be used as Bluetooth device, thus limiting it use.",apple
Apple - HomePod - Space Gray,1,5,07 Nov 2020,MyiWatch,"Love my HomePod! Great sound, Siri works great with it.",My HomePod
Apple - HomePod - Space Gray,1,4,07 Nov 2020,Useless,"I really love this product. I will purchase another one if it ever goes on sale! I love that it is voice operated by Siri. And I love that it looks good enough to show off on a shelf or table. Voice operated it increases or decreases volume or changes music and turns off. The HomePod is somewhat heavy and unwieldly. It is not the easiest to hold or move around-- so hold or pick it up with 2 hands to move it around. I don't know how it would work, but I actually need 2 because it's a pain to keep moving one around from room to room.",LOVE IT..
Apple - HomePod - Space Gray,1,4,07 Nov 2020,xKisarukix,"No real issues. 

Sound equality is rather decent and price isn’t too bad, considering what Siri has done for me. I really enjoy my HomePod!!! Great buy.

My only gripe:

Power cord could have been a bit longer or gone wireless. A charging dock would have been cool. But besides cosmetics! Once again... great buy!",Great Buy
Apple - HomePod - Space Gray,1,5,07 Nov 2020,Primopowers,Sounds awesome!!! Great if you are in the Apple ecosystem,Apple Home Pod
Apple - HomePod - Space Gray,1,5,07 Nov 2020,ChrisR,"Great sound quality and ease of you. If you are emerged deep into the Apple ecosystem, I recommend adding a HomePod to the family.",Great sound quality
Apple - HomePod - Space Gray,1,4,07 Nov 2020,IamDavid,The HomePods are good sounding speakers but as for smart homes or Siri usage I'm totally underwhelmed. After the first month I subconsciously slowly moved away from using these at all in favor of the simple google minis we have around the house. With the talk Spotify being added I may give them another shot but I doubt it. Habits are hard to break.,Good speakers I guess....
Apple - HomePod - Space Gray,1,5,07 Nov 2020,Praiseguy,Great sound! I had Amazon devices all through my house to control my smart fixtures. This blows them away. The response time is so much faster. Also you cannot beat all the integrations with the iPhones.,Everything you would expect!
Apple - HomePod - Space Gray,1,5,07 Nov 2020,COJO5,"I absolutely love this product. They do not lie about the sound quality, it is absolutely amazing and can easily fill the room. The HomePod is perfect for all of my smart devices, and I definitely  do not miss having to wait for the WiFi on my phone to connect just to turn on the lights.",Great sound quality and ease of use!
Apple - HomePod - Space Gray,1,5,07 Nov 2020,Vcvll,"Best speaker ever
Loud 
Makes u want to listen to music more often",Excellence
Apple - HomePod - Space Gray,1,5,07 Nov 2020,Itinoco,Love it. Really practical and it just gets to know what you like to listen in regards to music,Great
Apple - HomePod - Space Gray,1,4,07 Nov 2020,Bryan,"It’s ok. Sounds good and all 

Sometimes annoying Siri talks for no reason or music disconnects/pauses.  Seems some kinks need to be worked out even tho it’s years old at this point",It’s pretty good
Apple - HomePod - Space Gray,1,4,13 Nov 2019,plsno,"They are decently good for what they are. Sound quality is excellent (although a bit bass-heavy), but Siri and overall integration is definitely lacking.",Good sound - bad everything else
Apple - HomePod - Space Gray,1,1,13 Nov 2019,tkpkt,"Taking this back tomorrow. Great sound. Easy to set up and downhill from there. Apple tech told me the previous week that I could us Iheart Radio. Not so. This is a free music service. Apple has put it in Apple Music. You have to subscribe to Apple Music for free IHeart radio. Their web site I could use IHeartRadio, not so. Wonder how big tech gets in trouble with the public ?  No choices. Then I couldn’t set up my wife as an authorized user. Invitation to join was sent to our email address. Never showed up. Apple said I have to use my wife’s Apple ID address. Her address is the same as mine. No work around. I spent three hours on two separate days with Apple Support. Said they were sorry I was misled. Never seen this bad of Apple Support. I think because the Home Pod isn’t selling, their not supporting it with software and support. Tech support had to do lots of reading for basic questions. I contacted the Better Business Bureau about my concerns. Needless to say, don’t buy the Home Pod.",Great Speaker-Terrible Software and Tech Support
Apple - HomePod - Space Gray,1,5,13 Nov 2019,Ebd1065016,Great smart speaker. I love this as I am in the Apple HomeKit smart home ecosystem. The HomePod works great to control different lights and switches in my home and sounds good for music too.,Good speaker
Apple - HomePod - Space Gray,1,5,13 Nov 2017,ohmistamark,"It’s Apple, why are even reading this? Just Buy it Already!",BOOM!
Apple - HomePod - Space Gray,1,4,13 Nov 2017,maxperts,"Awesome sound... Siri is useless as an assistant, but for HomeKit automation, the HomePod is excellent! Turning on and off lights, appliances, scenes and music, this is the future!",Great for HomeKit Automation... and Awesome Sound!
Apple - HomePod - Space Gray,1,5,13 Nov 2017,Armando,excellent sound quality and easy to operate for a affordable price to light up the house with music and general information available at your finger tip.,homePod a must have!
Apple - HomePod - Space Gray,1,4,13 Nov 2017,Billybyter,"Great quality build and sound.  Some frustration setting it up (specifically to work hue lights).  Used to doing it with Amazon echo or hue hub without issue.  Was unable to get them setup with apple’s home app.  Not really a criticism of the speaker but, given it’s supposed to be easy I took off a star.",Great speaker - Apple home app not so much
Apple - HomePod - Space Gray,1,3,13 Nov 2017,gvnni16,"Bought this to test it out... Wasn't impressed. Not sure if it was the WIFI or the speaker itself but it seemed to lag when playing music. I'm a big Apple fan, but this is one of those things that I wasn't sold on. It liked the texture though hahah",Meh.
Apple - HomePod - Space Gray,1,5,13 Nov 2017,JayG,"I’ll start by saying the sound quality is amazing. I love the seamless connectivity between the iPhone,
iPad and the HomePod. I like the option of being able to play my music over multiple devices. I’ve tried setting up 3 HomePods throughout one room and let me say it really does sound great. I’ve placed one in different rooms and love being able to get things done without having to stop, play and pause with different devices or blasting music from one room to listen throughout the house. It’s unfortunate that HomePod doesn’t support the ring doorbell. But it’s safe to say I’ve dropped all of my Alexa echo devices and have happily transitioned to the HomePod. I’m looking forward to the HomePod mini for the kid’s rooms and guest room. Although I can’t play directly from 3rd party apps directly, yet, it’s still a great device and I’ve recommended it to my friends. It’s a bit bulky but well worth it!",I’ll take Siri over Alexa any day!
Apple - HomePod - Space Gray,1,5,13 Nov 2017,Jaspers,"Great sound!  While it may lag other competitors as far as as a smart assistant is concerned, I am confident that Apple will eventually pass Google and Amazon in the future.",Great Product
Apple - HomePod - Space Gray,1,5,13 Nov 2017,Drey88,Love these speakers. We have bought two to sync together. Works great for surround sound with our new LG tv.,Great sound
Apple - HomePod - Space Gray,1,5,13 Nov 2016,Roger,Bought this for my son for Xmas and he absolutely loves it!  Would not hesitate to buy another one... sound is terrific... another quality Apple product!,HomePod!!
Apple - HomePod - Space Gray,1,3,13 Nov 2016,GallyGG,Kind of disappointing with how the HomePod has sync issues with the home app. Tried to reset the device and now I cannot re add. Extremely frustrating,Meh
Apple - HomePod - Space Gray,1,5,13 Nov 2016,Gamp47,"I really like this the sound is amazing, and is easy control my smart home with this",Nice sound
Apple - HomePod - Space Gray,1,5,13 Oct 2020,Gumby,Overall this devise makes good sound quality. Not sure it lives up to my old Bose system. Looks nice sitting in kitchen and hardly noticeable,Good sound quality
Apple - HomePod - Space Gray,1,5,13 Oct 2020,WillyBry,"Honestly could be better, wish it Siri would pull up Spotify, but outside of the world great",Good for your buck
Apple - HomePod - Space Gray,1,5,13 Oct 2020,Brandon,Love how loud this speaker can get without ending up sounding distorted and being able to use Siri without needing your phone all of the time is a plus as well.,Excellent sound and great Homekit features
Apple - HomePod - Space Gray,1,5,13 Oct 2020,1homeowner,"I love everything about this unit! The sound, the variety of functions, the price. 
Apple did it again.",Sound is better than my Bose!
Apple - HomePod - Space Gray,1,5,13 Oct 2020,MadMike001,This is another great Apple product to own if your already in their ecosystem,Great Product!!!
Apple - HomePod - Space Gray,1,5,13 Oct 2020,DrewTx,"First things first...I bought a HomePod thinking I might try to use it to remind my son to dial into his virtual classes like my friends have done with Alexa.  Well, either it can’t do that or I couldn’t figure out how to do make it do it.  However, while fiddling with the HomePod I thought it had nice sound and decided to keep it for the kitchen since it can stream from Apple Music.  Then, I decided it sounded good enough to replace an older Bose speaker I had in my office so I bought another! 

Two thumbs up! One for each HomePod I bought. ;-)",What it isn’t
Apple - HomePod - Space Gray,1,5,13 Oct 2020,MrGC,"If your an Apple person, this fits you!  The sound and bass is amazing and it will tie into some types of home automation, which I am learning which products will work with the HomePod. Look for a sale as I bought this $100 off.","Great sound, still learning how to use it"
Apple - HomePod - Space Gray,1,5,13 Oct 2020,dmoody,We have one and love ours. We bought a second for ourselves or our office  when it went on sale for $200. If your already an Apple product lover. You’ll love this too. The sound quality is really good. And we connected it to the one we already have for a stereo effect. And the Siri features are just fun to use. Very helpful to send texts via HomePod.,Nice speaker
Apple - HomePod - Space Gray,1,1,13 Nov 2019,Woofer,"Sounds great and when it works it’s great. HOWEVER sometimes it just doesn’t  work and is the biggest piece of crap ever made. I use it with Hue lights and every so often I get “you haven’t setup any devices to use with this HomePod”.  I have and they’ve been setup for a year or more.  Did it with Wemo plugs too before I swapped them for Hue plugs.   Man, Siri is dumb as a box of rocks!  I have to go on my iPhone and reset the stupid thing.  Of course you can’t just say Hey Siri Reset. This probably happens about once a month.  I know it’s not Hues fault as I can control them fine from the Hue app. Apple needs to fix Siri so it can function full time and not be a piece of crap.",Totally crap about once a month!!
Apple - HomePod - Space Gray,1,5,13 Nov 2019,mohoppa,The price was really great on this and it’s so nice to wake up in the morning and just ask out loud how the weather is outside,Great for just about anything
Apple - HomePod - Space Gray,1,5,13 Nov 2019,Larry,"Can't do without my Apple HomePod for productive applications on a daily basis.  Music, reminder lists, alerts, jokes, etc.",Best friends forever
Apple - HomePod - Space Gray,1,4,13 Nov 2019,Heckler5,Great sound and easy setup yet wish would be able to use for gaming on Xbox One or when watching other streaming services aside from Apple TV like Netflix,Great sound needs to allow for gaming and Netflix
Apple - HomePod - Space Gray,1,5,13 Nov 2019,Marcellus,I love my Apple HomePod speaker I use it every day and the bass on this speaker is amazing for the size of it.,Great Sound Quality
Apple - HomePod - Space Gray,1,5,13 Nov 2019,Jvss,I have 2 now and they sound phenomenal. Combining them is great and now they support atmos! I typically keep them separate unless we’re having people over.,Awesome speakers
Apple - HomePod - Space Gray,1,5,13 Nov 2019,MoeShama,HomePod is the best sounding smart speaker. It is worth considering if you’re an iPhone owner and a part of the Apple ecosystem especially having 2 HomePods connected as a stereo pair with Apple TV 4K gives a perfect home theatre setup.,Wonderful Stereo Pairing with Apple TV 4K
Apple - HomePod - Space Gray,1,5,13 Nov 2019,Mbrax23,Great speaker fits very well if your your already in the Apple ecosystem,Great sound
Apple - HomePod - Space Gray,1,5,13 Nov 2019,Boss,This a very excellent speaker. very nice sound and good bass!,Good speaker
Apple - HomePod - Space Gray,1,5,13 Nov 2019,jeffo,"Already own two and decided to get this one for another room. I have it tied to some homekit automations where it turns on at certain times of the day - only when someone is home.
Great sound, easy setup,.",Another HomePod for the house
Apple - HomePod - Space Gray,1,5,13 Nov 2019,LoveMyHomePod,"I absolutely love the sound (it booms!) and it was so easy to set up and use!! I want another one for upstairs because this one is on the main level. It’s beautiful, so easy to use, and happily exceeds my expectations!",Perfect house speaker!
Apple - HomePod - Space Gray,1,5,13 Nov 2019,Gmac,Great sound and easy to set up.  Works well with Apple TV and smart TV.,HomePod
Apple - HomePod - Space Gray,1,5,13 Nov 2019,Rangerman,Apple never disappoints. I am absolutely in love with my HomePod. Having no issues with Siri hearing me. Set up was easy. Speakers are loud and clear.,Amazing
Apple - HomePod - Space Gray,1,5,13 Nov 2019,Doug,"I happened to get this device when it was on sale for $199.99 and can say it was definitely worth it! I am always amazed by how much sound and the quality and clarity of it is from such a small device. It probably is worth full price for what you get because I’ve tested other devices in this category and price range and although some of them may have better smart features and integrate better with other smart devices you have in your home, none of them can touch the HomePods sound.",Great Sound in a Little Package
Apple - HomePod - Space Gray,1,5,13 Nov 2019,Anthony,I love that Apple keeps adding features to the HomePod! It’s value continues to increase with time.,Satisfied
Apple - HomePod - Space Gray,1,3,13 Nov 2019,Anonymous,"Apple makes a great product and I am part of the ecosystem. I was comparing this to a sonos one and ended up going with the Sonos because the sound quality was superior. 

I bought this to use in my home office mainly for music.
I’m not a fan of Siri and I use Spotify for music, so this was strictly about sound quality and ease of use for me. 

The HomePod sounds great and is well designed, but it is still overpriced and didn’t sound as good as I thought it would (not that it sounded bad). This would be a great value at $200, but not at 300 and def not 350 where it started at. 

 As a Spotify user, I also noticed how much of a difference the sound quality is when streaming it natively as opposed to using airplay and that was another point for Sonos. 

This may be a good device for HomeKit users, but I didn’t need a smart speaker (already on Google’s eco) and not an Apple
Music subscriber, so this didn’t fit my use case. I’m glad I tried it out for myself though.","Good speaker, didn’t fit my use case"
Apple - HomePod - Space Gray,1,5,13 Nov 2019,SqueegeeMcStuffins,Great product and the open box was in good shape. No issues.,Great
Apple - HomePod - Space Gray,1,4,13 Nov 2019,LexM,"Sometimes it randomly turns on in the middle of the night when my cat bumps into it. Otherwise, it’s great",Cool product
Apple - HomePod - Space Gray,1,5,13 Oct 2020,Jddoctorwho,I love it! Syncs up great and easily with all my Apple products and Apple Music is a joy to use with it!,Love it!
Apple - HomePod - Space Gray,1,5,13 Nov 2019,Pupae,"Sounds quality is nice, it that kind of product that nice to have. If you like to listen to music and you have all apple products",Smart speaker
Apple - HomePod - Space Gray,1,5,13 Nov 2018,Sherwin,Works great I use it mostly for music not too much for Siri.,Great speaker
Apple - HomePod - Space Gray,1,5,13 Oct 2020,Picklz,"So I was Skeptical about buying this over all the other smart homes because mainly of price but the sound quality alone was worth the price. Knowing that the other products from Amazon and Google that listen to your conversations was a no go for me so I wanted something else and the only other option was Apple, in which I do own a Apple phone so in my opinion it was a no brainer. After the couple hiccups I ran into not knowing that the phone and speaker needed to be on the same network, I was able to enjoy it at its full potential. Having Apple Music and Apple TV, I notice i was able to use any Apple product I wanted to connect to the speaker via airplay. So not only can I use it for Apple Music but if I’m watching tv, movie etc I can use it as a sound bar which is so cool I give this product a 10/10 for sound 6/10 for being a smart device when coming down to knowledge and a 10/10 for the other known features.","Best sound, best price, only at best buy"
Apple - HomePod - Space Gray,1,5,13 Oct 2020,msscarlet5,"So far I've only listened to music, podcasts, and set timers using the homepod. I do not have any complaints. I am a apple product lover so this just adds to my other apple electronics.",So far the apple homepod is a thumbs up
Apple - HomePod - Space Gray,1,5,13 Oct 2020,AndoverMA,In addition to great sound.  These are hubs for home kit.,I love the home pods
Apple - HomePod - Space Gray,1,5,13 Oct 2020,LYSY,Bought as a gift for my daughter. She is very happy with all her apple products.,Very happy with purchase
Apple - HomePod - Space Gray,1,5,13 Oct 2020,MusicGuru,It has surprisingly well-rounded sound for such a small speaker.,"Easy to setup, great sound"
Apple - HomePod - Space Gray,1,5,13 Oct 2020,Jmoore,Awesome sound!!! Siri hears and understands you even when tv is on and loud.,Best sounding smart speaker period!
Apple - HomePod - Space Gray,1,5,13 Oct 2020,Sherbear,I’ve always been an Apple fan. The Home Pod is everything I want and all that I need. I really love that I can ask Siri to play my music at anytime.  I don’t want or need a Bluetooth speaker with a “bass boost”. I don’t want one that makes your ears ring like a transistor radio (yep I’m that old). I appreciate a speaker like the HomePod that can calculate the size of a room and play your music the way it was meant to be heard.,Took Advantage of a Great Deal
Apple - HomePod - Space Gray,1,5,13 Oct 2020,SunnyKool,These speakers give phenomenal quality sound. Thanks to Apple for all the research they put into it. They sound even better when bought as a pair to give a roomful of superb stereophonic quality listening pleasure! Setup with Apple HomeKit and Apple TV was a breeze. I use them as my TV speakers too!,Great sounding speakers
Apple - HomePod - Space Gray,1,5,13 Oct 2020,808OahuGrown,"Speaker sound quality is perfect, comes out clear.",Perfect speaker
Apple - HomePod - Space Gray,1,4,13 Oct 2020,Drew,HomePod Siri seems to be dominant over all other Siri equipped Apple devices i own. This is a happy plus. Although it does take a little bit of time to get the kinks worked out as far as the smart hub goes.,This Siri is Dominant over devices ++
Apple - HomePod - Space Gray,1,5,13 Oct 2020,AppleBottom,Great sound and Easy to set up. The hardest part was getting it out of the package.,Great Sound!
Apple - HomePod - Space Gray,1,5,13 Oct 2020,Tennessee,World Round Sound System That Will Leave You Speechless.,"Great Sound.....,"
Apple - HomePod - Space Gray,1,5,13 Oct 2020,Lamarmib,This speaker is remarkable. I was not expecting the sound to be this clear and the volume is amazing. It’s great for entertaining guest. Would have wanted it to be cordless but I guess Apple wanted to save us money on batteries. Besides that this product is excellent. I ah well 1 in the Living Room and plan on buying another for the rest of the rooms.,Exceeded Expectations!!
Apple - HomePod - Space Gray,1,4,13 Oct 2020,Alexa123,"Makes for a great speaker for the living room. Sucks that only way to use it as a tv speaker is through Apple TV applications, but overall great sound quality.",Good if you are an Apple user
Apple - HomePod - Space Gray,1,5,13 Oct 2020,dashof,I use this mostly with my Apple TV when watching my various streaming channels. AMAZING SOUND!!!  It does freak me out at times - I have the cable TV on and Siri starts answering something somebody said on TV.,Fun Device to have
Apple - HomePod - Space Gray,1,5,13 Oct 2020,wmcdavis,Easy to use and sounds amazing! Highly recommend!!,Love it!
Apple - HomePod - Space Gray,1,1,13 Oct 2020,Wired,Must have internet and doesn’t connect via Bluetooth. Pretty terrible experience.,Disappointing
Apple - HomePod - Space Gray,1,5,13 Oct 2020,juanda,This speaker has an amazing sound and very responsive.,Great speaker
Apple - HomePod - Space Gray,1,5,13 Oct 2020,Patrick,Amazing sound quality and works great with or without the itunes account once you learn how to use shortcuts on your phone.  Love it!  I have now paired 2 of them and have portable high quality stereo tv!,Love it
Apple - HomePod - Space Gray,1,5,13 Oct 2020,Blake,"I had a single AirPod but got another one on sale.  I grouped them on the Homeapp and use them as Left / Right speakers using Airplay from my Apple TV.   They sound very nice and I love the fact that I can say “hey Siri, pause”. Or “hey Siri, turn off the TV” when I’m don’t watching.

Will add more eventually.",Great sound and easy setup!
Apple - HomePod - Space Gray,1,5,13 Nov 2019,CG1121,Was skeptical of this speaker but caught it on sale and it had been a great companion to my entertainment set up.,Surprisingly Great
Apple - HomePod - Space Gray,1,5,13 Nov 2019,Steve,Amazing sound and Siri is really responsive. We use it everyday!,Great sound
Apple - HomePod - Space Gray,1,4,13 Nov 2018,Digitalain,"The sound is rich, the base is deep, but the only thing it needs is more functionality.  If you don’t use apple music, there’s not much you can do with siri except use the home app.",Great but with a few problems
Apple - HomePod - Space Gray,1,5,13 Nov 2018,Jacky1,I love so much my HomePod then give great sound and also then can do so much thinks like help you unlock door help turn off the light help read story also Siri can help call someone if you need and so much fun on HomePod,My lovely HomePod
Apple - HomePod - Space Gray,1,5,13 Nov 2018,DMFL,The best quality speaker on the market right now!!,Great speaker
Apple - HomePod - Space Gray,1,5,13 Nov 2018,Iamperu,"HomePod is incredible! Hi fidelity sound mixed with ease of use and functionality. Price is high but we’ll worth every penny, especially if you are an audiophile.",HomePod for the Win!
Apple - HomePod - Space Gray,1,5,13 Nov 2018,Napoleon4Osu,"Excellent speaker quality. Highly recommend. When paired with another HomePod, stereo surround sound. Awesome!!!!",HomePod for the Win!
Apple - HomePod - Space Gray,1,3,13 Nov 2018,Jonny,Great system to listen to although I wish I didn’t need WiFi and was portable.,OKAY
Apple - HomePod - Space Gray,1,5,13 Nov 2018,UTrugger,One is not enough. The sound is amazing. I no longer use my stereo receiver for listening to music,Get 2
Apple - HomePod - Space Gray,1,5,13 Nov 2018,jrflanary2,"My life has not been the same since I purchased this device! The sound of music is amazing! Not only this, but all kinds of data and instant notifications are at the availability of a mere command. It is pricey, but it in terms of sound alone, it is worth the price!",Amazing!
Apple - HomePod - Space Gray,1,5,13 Nov 2018,Nick,This smart speaker has great sound quality and is perfect for the living room.,Sound fo the win
Apple - HomePod - Space Gray,1,5,13 Nov 2018,AmazingSpeaker,"I love Apple products in general but this one is amazing, it plays music and it won’t Interfere with your iPhone speakers like other Bluetooth speakers do. Apple is always thinking ahead of the game",Excelente user experience
Apple - HomePod - Space Gray,1,5,13 Nov 2018,Glyphx,Works really well and louder than I thought it could get which has been good for music,Great
Apple - HomePod - Space Gray,1,4,13 Nov 2018,GC21,"Great sound. Easy set up. Siri is a little sensitive, though and will respond to the TV, etc.",Great wireless speaker.
Apple - HomePod - Space Gray,1,3,13 Nov 2018,Sergio,Can’t use YouTube music without it turning off when you use airplay. I returned if you don’t use Apple Music it’s not worth it,Sergio
Apple - HomePod - Space Gray,1,5,13 Nov 2018,Rogeert,"I love this speaker! I have gone thru so many, and the quality is no match to this monster! Though it’s really heavy, the sound quality is very rich",Great sound
