product,verified,rating,location,date,author,content,title
Echo Show (2nd Gen) | Premium 10.1” HD smart display with Alexa – stay connected with video calling - Charcoal,1,5.0,Reviewed in the United States ,25 Oct 2018,Jay F.,"I have had the first gen Echo since it came out.  The sound was decent and I had it hooked up to my Smartthings hub for full home automation.  However, I found myself migrating more and more over to the Google ecosystem and the Home hub devices.  When the 2nd Gen show came out, I decided to give it a try.  I was convinced that I was going to return it the next day.  Brought it home, set it up, did some research and found more about Hulu Live and it's integration with Alexa.  Connected my Ring doorbell and cameras ... the next day, I did go back to Best Buy - but I bought one more of the 2nd Gen Show's and two more of the Spot devices for my boys rooms.  I have disconnected all my Google devices and will be adding the 4k Fire Stick when it's released next week.  Absolutely love the 2nd Show and Spot devices.  The camera doesn't bother me at all because I have a $0.30 piece of plastic that is a lens cover like on my laptop - and when I am not using the camera, I slide that over the lens and no one can secretly watch us.  Love the drop in feature because I now placed one of these in my mom's house is up in age.  I will be disconnecting my cable subscription and using Hulu Live because I get all the local stations in addition to the cable channels that I use.  That will save me over $70 per month .. and I can watch on all my Fire Stick devices, Show's, etc.  Lastly, I did buy the Google Home Hub as well with the 7"" monitor ... that was the one I was convinced I would be using.  However, the sound is awful compared to the Show, it's tiny and if you want to watch any sort of videos on the screen - it sucks because it's so small ... I returned the Google Home Hub the same day it came in ... Hope this helps.",Surprisingly good!
Echo Show (2nd Gen) | Premium 10.1” HD smart display with Alexa – stay connected with video calling - Charcoal,1,2.0,Reviewed in the United States ,12 Jan 2019,B. Flanagan,"I have had multiple Echo devices, including the first generation Show. This is definitely an improvement on that, bigger screen, better music and sound, and video. However, more than any other single function, we use it as a digital picture frame. The background picture, when the device isn't being used for something else, can be set to an album that you have created on Amazon Photos. We loaded 400 or so photos, and they change at about one minute, which I think is a perfect time. There are a couple of problems, though. First, the units have a tendency to stop and stay at one picture, until the unit is unplugged and plugged in again. This has been mentioned time and time again in reviews, but the Amazon team on this project has apparently either not prioritize it, or can't fix it. Expect this to continue until they make it a priority. The second issue with this as a digital picture frame is that there's no customization, other than selecting the album. Pictures rotate chronologically, either by date taken or date uploaded. You cannot shuffle or randomize. So if you took a bunch of photos at a birthday party or wedding, you are going to see all of those pictures in succession, before it moves on to another. It's gotten to the point where I can predict what the next pictures going to be. Also in the category of lack of customization – there is no effects that you can use with these pictures. There is no transition choice – fade,, wipe, side – nor were there any effects that can be used (Ken Burns, etc.) Amazon doesn't give you any kind of slideshow maker, and it doesn't support any third-party apps. In the general category of Alexa – the skills have now become like Apple's app store. You can't find anything useful unless you read something about it somewhere. It suggests skills, based on one's you have already enabled. We tried that once. ""Big sky"" is a weather app that's pretty good. Around Christmas time, it was suggested that if we like that, we would like something called ""Sky Weather"". So I enabled it by voice. And then opened it. It went on for about two minutes. And Alexa did not appear to hear me calling for it to stop, so I had to scream. No more suggestions. My home isn't smart enabled, so I'm not going to comment on its usefulness on that front. The recipes are definitely helpful, but I don't think I'll be watching much video on it. Simply finding your Amazon purchases can take time, and there's only a limited number of them that show. Finally, the ""drop in"". Nice idea, but these are usually going to be sitting on kitchen counters or side tables. You're going to have to squat down. In an age where everybody has an iPhone or iPad and Facetime is available, it's an inferior redundancy. (Oh, and it can be really annoying. I gave these to 2 sisters and a niece at Christmas. One of the sisters sent me a message. Suddenly, the Echo Dot next to my head started glowing and fading, glowing and fading. I couldn't figure out what the hell it was. So I could sleep, I just unplugged it. Next day, I saw other Dots glowing and fading, and went into the Show to find out what the heck was going on. Apparently it was the message, and it doesn't stop until you read it. Thanks, but I think I'll stick to texting. They still haven't found the homerun app for this device. For us right now, it's pretty much a $229 picture frame that doesn't do everything we would like it to do.",Waiting for updates
Echo Show (2nd Gen) | Premium 10.1” HD smart display with Alexa – stay connected with video calling - Charcoal,1,1.0,Reviewed in the United States ,04 Nov 2018,Susan Gardner Bowers,"This might seem like a small thing, but it’s enough to make me want to return it. It is IMPOSSIBLE to turn off the nerdy and annoying suggestions. If I want to try something I freaking will. They run all day all the time. So lame.",I don’t want to return it but I
Echo Show (2nd Gen) | Premium 10.1” HD smart display with Alexa – stay connected with video calling - Charcoal,1,1.0,Reviewed in the United States ,08 Jan 2019,Barry,"I've had the Show for a little over a week. This thing has great potential, but it sorely needs a software update. If you think about it, it really does not do anything useful. Most of the time it just sits there. You need to be able to customize the home screen background and size of the time / weather. It could be a fantastic, basic, smart home controller, but it fails on that part. You need to be able to map addresses. You need an option to not show this ""Try"" nonsense at the bottom of the screen - that is just veiled advertising. It needs more thought put into accessibility features. I just tried: ""Alexa, show me the nearest pizza places"" as prompted by one of their ""Try …"" suggestions. It showed me 8 sample pizza offerings from different places, but did not state the distance. I tapped on one of the pizza offerings, it showed the distance, but would not let me map the location. If I want to order a pizza I would have to go to my computer – why bother with the Show? *** After 4 weeks *** This product has so much potential, but the implementation is garbage. It should never have been released for sale. The reality is it's just a tabletop dust collector – it does nothing. Most of the time it just sits there. It would be useful if it showed the time, day, and date on the home screen. It does show the time, but the font is too small to be useful and it's not configurable. It doesn't show the day or date. It shows an icon with the current weather and temperature, but again it's too small to see across a normal-size room and it's not configurable. 90% of the screen real estate is wasted. At the bottom they have an advertisement for ""Try: Alexa…"" And this can't be removed. After the first 15 minutes of ""Wow"", this gets old really fast. The bottom line, in its present state I definitely could not recommend it to someone. If they fixed the software with some of the many complaints you see on the Echo Devices forum, it could be really good and useful. *** After 6 months *** Still no software update. This thing just sits there. It would be useful if the clock were larger, showed the month/day/year, and got rid of that ""Try…"" nonsense that's always on the screen. Just about everyone who buys one has the same complaints, but Amazon has done nothing. They now have an Echo Show 5 which, from the pictures, looks like it addresses a few of these problems. The 2nd Gen Show will probably end up in the garbage in a few weeks. There is absolutely no way I'll be getting a Show 5.",Great Concept Needs Software Update
Echo Show (2nd Gen) | Premium 10.1” HD smart display with Alexa – stay connected with video calling - Charcoal,1,1.0,Reviewed in the United States ,01 Dec 2018,valla4u,"Thought of giving a try to this new device from Amazon as an addition to echo dot. But it is just a big junk version of dot. It is not intelligent or intuitive like google home products. Never recognize the smart products by name, not performing tasks like ""turn off room lights"" when multiple lights are there in a single. It just keeps asking which device or telling multiple devices found. Even after updating the address in alexa app and device it is not able to find the location for weather alerts etc. On the other side if i give the same commands to google no question is asked and job is done. Will be returning this big box soon.",Waste of money !!!
Echo Show (2nd Gen) | Premium 10.1” HD smart display with Alexa – stay connected with video calling - Charcoal,1,3.0,Reviewed in the United States ,18 Oct 2018,Grey,"I bought this to be a hub in my kitchen for watching videos and viewing recipes while cooking, with the potential for adding a front-door camera down the line. So far, when I have tried to use it, it has been a letdown. The Alexa commands are not exhaustive/intuitive enough to navigate purely by voice, but there is also no effective way to navigate by touch. Asking Alexa to play a program that is available on Hulu sent me to Prime Video instead, where it showed a pay option. When I tried to display a recipe, it continued to time out between when I glanced at the screen, completed a step, and returned to see what was next. With egg- or floured-covered hands, it was an extremely frustrating process that led me to print the recipe anyway. Beyond those experiences, my Echo Show has sat dormant, which is very unusual for a new toy. It does not seem to be worth the money, and I might be returning mine and returning to the radio and my cookbooks, which accomplish as much or more as this new piece of technology.",Quirks make it an insufficient sous chef and kitchen TV
Echo Show (2nd Gen) | Premium 10.1” HD smart display with Alexa – stay connected with video calling - Charcoal,1,4.0,Reviewed in the United States ,16 Oct 2018,Bron,"First, this is an order of magnitude improvement in terms of hardware. Much larger screen, which looks great. Very bright, good color, all as expected. It looks nicer as well. This device is larger and heavier. The sound is much improved in terms of the speakers, drivers, etc. and it has bass response the 1st gen Echo could not dream of. All in all, much as presented here on Amazon. As expected, there are some software issues and omissions. It's a new release, after all. So I'm sure Amazon will be fixing these soon.  Many have noticed the LOUD Alexa voice response. It is truly annoying. Hopefully, they will fix this soon. Ideally they would let you set Alexa's voice response level independently from media. As it is, media volume is much lower. Also, they appear to have used spatial processing to give you a stereo effect and it works great. But it's not always desirable. There should be an option to disable it. For example, it works great for some music, but not well at all for other music.  Also, the bass response is overdone - for some things - even when I lower the bass in the equalizer to minimum levels. The equalizer adjustments need more range or tweaking, in my opinion.  At first I thought, wow, I won't need my external speakers now, This thing sounds great. But as I went on, I soon learned that wasn't the case and reverted back to using my Bluetooth speaker. The spatial effect interference with mid-range (vocals) is the primary reason as it alters the balance of sounds, but the over-done boomy bass is also an issue. It's less of an issue at lower volumes. Some music sounds great. And movies I watched from Prime Video all sounded very good. With movies the bass and spatial sound works very well and everything sounded fantastic. It made for a very enjoyable movie experience. I was a beta user for the original Echo and we went through some of this with that device as well and Amazon did a great job of addressing the issues, so I am sure they will do the same this time around. The hardware is a huge step up in performance, so the results should be excellent. So vastly improved screen and sound drivers, they just need to get the software tweaked for music. Also, as some have noted, not all of the functionality is working properly at this point. Most all of the basic stuff does. Some  things still have glitches. But give them time. I will try to come back and update as things unfold. Giving 4 stars for now as I like it even with the glitches. Update:After lowering the bass (a lot) and moving the Echo to another location, sound has improved.  Still would like finer controls, but it definitely has great sound potential. Some songs sound incredibly good. The spatial effect can be very enjoyable with the right source material.  Also, as mentioned, it works extremely well with most movies.","Definite improvement, some software issues on release"
Echo Show (2nd Gen) | Premium 10.1” HD smart display with Alexa – stay connected with video calling - Charcoal,1,4.0,Reviewed in the United States ,25 Nov 2018,🥇Customer,"Updated 2/26/19:  I discovered the fantastic wonder of having Zigbee on the Show and have raised the stars from 3 to 4.  For the first 3 months of using the Show, I did not use anything Zigbee-related, so it didn’t seem to be a benefit.  However, I’ve discovered some fantastic Sengled light bulbs which are Zigbee-certified and will connect directly with the Show.  What this means is I don’t need a separate hub, I don’t have to use up another electrical outlet, I don’t have to download another app, and I don’t have to download another Skill.  Everything is easily set up through the Alexa app — hallelujah!  So, though the Show still remains limited in many ways, being able to set up and control my new smart light bulbs is a new big plus to me.  I now have smart light bulbs and Amazon Smart Plugs all using only the Alexa app. Updated 2/3/19:  I find this device to be disappointing for the price.  I’ve had the Show for two months now.  It has a few positives (nice display, decent sound, Zigbee controller) and others have commented on them.  I don’t use Zigbee devices, so that’s not a benefit to me.  However, what I noticed most are the negatives: 1. It can’t do 2 things at one time.  For instance, it’s not possible to watch the livestream of your baby sleeping and also play music or an audiobook.  It can do one or the other.  A Fire tablet can do both, though without the audio power of the Show. 2. It’s not possible to watch the map tracking of your delivery.  Perhaps it would require computer components to do that, but I find it annoying that it’s not possible on the Show.  It’s available on my Fire tablets or Shop Amazon app, and it would be nice to watch on the Show. 3. It has no light ring for notifications.  I’m surprised at how irritating I find this.  I can walk through a room that has an Echo or Dot in it and immediately see that there is something I should attend to.  Not so with the Show.  Only if I happen to be in the room at the time a message arrives will I be aware there is a message. 4. It doesn’t show the list of your skills.  Alexa will read them off instead.  This is way too slow. 5. It nicely plays Prime videos.  However, it’s like watching a 10 inch TV when I’ve got a huge big screen and Fire TV on the opposite wall. 6. It emits a lot of light, just like a TV, even at the lowest light level.  If I have the ambient clock on, there is way too much light emitted for a bedroom (unless you want a ten-inch bright nightlight).  I can turn off the clock which will allow the display to eventually go dark, but then I have no clock, although I can always ask Alexa the time. 7. It’s heavy and tethered to the electrical cord.  I like to move around my kitchen and sometimes move my recipes with me.  I can’t do that with the Show.  Plus, I can’t enlarge the font. 8.  I noticed that some of my Skills sometimes flash a message on the screen and by the time I get up close to read what it says, the message is gone.  Gone, as in no way to replay it (that I can find). I love my Fire tablets, Echos, Dots, and Fire TVs.  I’m also liking my new Amazon Smart Plugs.  I also felt those devices were good values when on sale.  The Echo Show has me less enthused.","What it does it does well, but it’s limited in what it can do"
Echo Show (2nd Gen) | Premium 10.1” HD smart display with Alexa – stay connected with video calling - Charcoal,1,5.0,Reviewed in the United States ,27 Oct 2018,Jeff Carter,"The Echo Show 2nd gen is amazing. The screen is not only bigger but your wallpapers look more vivid especially pics with Autumn Leaves Echo Show 2 is louder then Echo Show 1 You can access your smarthome controls in settings eg lights,switches,plugs etc. You can ask Alexa to pull up firefox and silk browsers and you can view YouTube. I was able to view all my YouTube favorites,history,subscriptions etc once I logged in. Music sounds more crisp on the Echo Show 2 especially Dolby Show 2 has a lot of base but you can cut that down in the alexa app or in the settings as well I think. I recommend the Echo Show Gen 2 and the Stand Accessory sold seperatly thru amazon.  The stand makes it look even better as you'll see in my picture. An FYI Echo Show Gen 1 also now has the browsers,light controls,youtube etc since an Update. The advantage of the Echo Show 2 over the 1 is mainly the bigger screen size and it's HD Screen. The Echo Show 1 is just a little brighter then the Echo Show 2 but the Show 2 looks better with your wallpaper pictures cause of the HD Screen. Show 1 isn't an HD Display.",The Echo Show 2nd Generation Is Amazing
Echo Show (2nd Gen) | Premium 10.1” HD smart display with Alexa – stay connected with video calling - Charcoal,1,1.0,Reviewed in the United States ,08 Nov 2018,Frank K.,"The screen is bigger and the sound is better, but that's it , so its definitely not worth spending the much higher price for it.  It also stopped working after a week , so I returned it.",Not worth the upgrade
Echo Show (2nd Gen) | Premium 10.1” HD smart display with Alexa – stay connected with video calling - Charcoal,1,5.0,Reviewed in the United States ,05 Nov 2018,Mary,"I embraced voice-controlled applications and services on Amazon Echo devices over a year ago and was thrilled to finally get a chance to try out the new Echo Show. I had been wanting a display device for use in the kitchen where I could refer to recipes while I am preparing a new dish and was also interested in purchasing an Alexa-enabled video doorbell so I could check to see who was at the door whenever I hear the dogs start barking while I am working on my computer in my home office.  I don't yet have the video doorbell but I did ask the new Show to display recipes for corn beef and cabbage, one of my husband's favorite dishes, and the images were sharp and the colors brilliant.  I also enabled an ambient sound skill and enjoyed both hearing the mountain river and seeing a relaxing HD video of the stream.  As a photographer, I hope to develop my own skills for the Show that will be both inspiring and educational!",Mouth-watering recipes in brilliant color and relaxing videos and sound to soothe the soul too!
Echo Show (2nd Gen) | Premium 10.1” HD smart display with Alexa – stay connected with video calling - Charcoal,1,5.0,Reviewed in the United States ,01 Apr 2020,J. Harris,"My mom died yesterday at 90. For the last 3 years, the Echo Show has changed our lives. She lives 2,000 miles away, and we were able to be together most days. She was fine cognitively but could never get the hang of FaceTime and could not be bothered to keep an iPad at her side. The Echo Show was wonderful, because, with her one-time permission, I could ""drop in"" to her living room at any time. She was near deaf, but the quality of the microphone and speakers meant she was able to hear and understand me. Perhaps the screen allowed a little lip-reading too. It also allowed her to talk with her 88-year-old sister. The phone did not work for them because of hearing problems, but the Echo Show did. Her sister's daughter saw it and bought one for herself to communicate with her mother. It followed her to the hospital for her end days. Because of COVID-19, we could not join her, even my sister, who lives nearby. The Echo Show meant that I was able to talk to my mom the night before she died. It really did change her life, and mine.",Life-changing for my elderly mother
Echo Show (2nd Gen) | Premium 10.1” HD smart display with Alexa – stay connected with video calling - Charcoal,1,5.0,Reviewed in the United States ,07 Nov 2018,jtolley,"So far we love the echo shows. My mom had a stroke a couple of years ago that left her unable to speak, therefore can not answer or talk on the phone. We got one to put in my mom's nursing home room so we can drop in on her without her having to speak to answer and the kids can tell her about their day or just say hello when we can't get over to visit. The speaker is phenomenal!  I get better sound from the echo than I do from my stereo.",So far we love the echo shows
